央视频道,#genre#
CCTV－1 综合,http://204.12.221.218:8181/3m1080p/cctv1.m3u8
CCTV－1 综合,http://docker.digital8.top/html/V6.php?access_token=DY0123_SPV4_471051813_V5reC&id=cctv01zh
CCTV－1 综合,http://docker.digital8.top/html/V4YD.php?access_token=DY0123_SPV4_471051813_V5reC&id=cctv01zh
CCTV－1 综合,http://docker.digital8.top/html/V4.php?access_token=DY0123_SPV4_471051813_V5reC&id=L02_cctv01zh
CCTV－1 综合,http://211.101.246.28:3000/608807420
CCTV－1 综合,http://docker.digital8.top/html/V4back.php?/PLTV/&ip=0&access_token=DY0123_SPV4_471051813_V5reC&id=cctv1
CCTV－2 财经,http://204.12.221.218:8181/3m1080p/cctv2.m3u8
CCTV－2 财经,http://docker.digital8.top/html/V6.php?access_token=DY0123_SPV4_471051813_V5reC&id=cctv02jj
CCTV－2 财经,http://211.101.246.28:3000/631780532
CCTV－2 财经,http://docker.digital8.top/html/V4YD.php?access_token=DY0123_SPV4_471051813_V5reC&id=cctv02jj
CCTV－3 综艺,http://204.12.221.218:8181/3m1080p/cctv3.m3u8
CCTV－3 综艺,http://211.101.246.28:3000/624878271
CCTV－3 综艺,http://docker.digital8.top/html/V4YD.php?access_token=DY0123_SPV4_471051813_V5reC&id=cctv03zy
CCTV－3 综艺,http://docker.digital8.top/html/V4back.php?/PLTV/&ip=0&access_token=DY0123_SPV4_471051813_V5reC&id=cctv3
CCTV－4 中文国际,http://docker.digital8.top/html/V4YD.php?access_token=DY0123_SPV4_471051813_V5reC&id=cctv04zw
CCTV－4 中文国际,http://docker.digital8.top/html/V4back.php?/PLTV/&ip=0&access_token=DY0123_SPV4_471051813_V5reC&id=cctv4
CCTV－5 体育,http://204.12.221.218:8181/3m1080p/cctv5.m3u8
CCTV－5 体育,http://docker.digital8.top/html/V4YD.php?access_token=DY0123_SPV4_471051813_V5reC&id=cctv05ty
CCTV－5 体育,http://211.101.246.28:3000/641886683
CCTV－5 体育,http://docker.digital8.top/html/V4back.php?/PLTV/&ip=0&access_token=DY0123_SPV4_471051813_V5reC&id=cctv5
CCTV－5 体育,http://docker.digital8.top/html/V4.php?access_token=DY0123_SPV4_471051813_V5reC&id=L02_cctv05ty
CCTV－5+ 体育赛事,http://204.12.221.218:8181/3m1080p/cctv5p.m3u8
CCTV－5+ 体育赛事,http://211.101.246.28:3000/641886773
CCTV－5+ 体育赛事,http://docker.digital8.top/html/V4YD.php?access_token=DY0123_SPV4_471051813_V5reC&id=cctv05pl
CCTV－5+ 体育赛事,http://docker.digital8.top/html/V4back.php?/PLTV/&ip=0&access_token=DY0123_SPV4_471051813_V5reC&id=cctv5p
CCTV－6 电影,http://204.12.221.218:8181/3m1080p/cctv6.m3u8
CCTV－6 电影,http://211.101.246.28:3000/624878396
CCTV－6 电影,http://docker.digital8.top/html/V4YD.php?access_token=DY0123_SPV4_471051813_V5reC&id=cctv06dy
